2025-07-17 11:59:04,032 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250717.log
2025-07-17 11:59:19,480 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250717.log
2025-07-17 12:00:48,807 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250717.log
2025-07-17 12:00:51,669 | INFO     | main            | run_lob_optimization | Loading iPhone Accessories...
2025-07-17 12:00:51,699 | INFO     | main            | run_lob_optimization | Loaded 399 products for iPhone Accessories
2025-07-17 12:00:51,743 | INFO     | main            | run_lob_optimization | Enriched products with cohort data
2025-07-17 12:00:51,766 | INFO     | main            | run_lob_optimization | Loaded 54 bundle recommendations
2025-07-17 12:00:51,784 | INFO     | main            | run_lob_optimization | Running optimization...
2025-07-17 12:00:51,784 | INFO     | base_optimizer  | create_planogram     | Starting optimization with 344 products
2025-07-17 12:00:51,784 | INFO     | base_optimizer  | create_planogram     | After store filtering: 344 products
2025-07-17 12:00:51,790 | INFO     | bundle_optimizer | optimize             | Running bundle-based optimization
2025-07-17 12:00:51,854 | INFO     | bundle_optimizer | _extract_bundle_groups | Extracted 0 bundle groups
2025-07-17 12:00:51,855 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Gripp Clear MagSafe Case for Apple iPhone 15 Max  6.7  with White Ring - Clear on Apple Premium Row 1: 1 facings, 11.0cm wide at position 2.0cm
2025-07-17 12:00:51,855 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed iPhone 16 Pro Max Clear Case with MagSafe on Apple Premium Row 1: 1 facings, 11.0cm wide at position 15.0cm
2025-07-17 12:00:51,855 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse CRYSTAL Case with Metal Camera Stand for iPhone 16-White on Apple Premium Row 1: 1 facings, 11.0cm wide at position 28.0cm
2025-07-17 12:00:51,855 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed iPhone 16 Pro Clear Case with MagSafe on Apple Premium Row 1: 1 facings, 11.0cm wide at position 41.0cm
2025-07-17 12:00:51,855 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse Super crystal magsafe case for iPhone 15-Black on Apple Premium Row 1: 1 facings, 11.0cm wide at position 54.0cm
2025-07-17 12:00:51,855 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse Newton Magsafe Case for iPhone 15-Grey on Apple Premium Row 2: 1 facings, 11.0cm wide at position 2.0cm
2025-07-17 12:00:51,855 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse LIQUID silicon case for iPhone 15-Storm Blue on Apple Premium Row 3: 1 facings, 11.0cm wide at position 2.0cm
2025-07-17 12:00:51,855 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse THOR Leather case for iPhone 15-Black on Apple Premium Row 4: 1 facings, 11.0cm wide at position 2.0cm
2025-07-17 12:00:51,855 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse LIQUID silicon case for iPhone 15-Black on Third Party Row 1: 1 facings, 11.0cm wide at position 2.0cm
2025-07-17 12:00:51,855 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse Tire magsafe case for iPhone 15 Black on Third Party Row 2: 1 facings, 11.0cm wide at position 2.0cm
2025-07-17 12:00:51,855 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse HORNOR Case for iPhone 15-Black on Third Party Row 3: 1 facings, 11.0cm wide at position 2.0cm
2025-07-17 12:00:51,855 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse THOR Leather case for iPhone 15-Blue on Third Party Row 4: 1 facings, 11.0cm wide at position 2.0cm
2025-07-17 12:00:51,862 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse Newton Magsafe Case for iPhone 15-Black on Apple Premium Row 2: 1 facings, 11.0cm wide at position 15.0cm
2025-07-17 12:00:51,862 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse FROSTED Case for iPhone 15-Black on Apple Premium Row 3: 1 facings, 11.0cm wide at position 15.0cm
2025-07-17 12:00:51,862 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed PULSE Matt Magsafe Case for iPhone 16-Black on Apple Premium Row 4: 1 facings, 11.0cm wide at position 15.0cm
2025-07-17 12:00:51,862 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse Clear Magsafe Case for iPhone 15-Clear on Third Party Row 1: 1 facings, 11.0cm wide at position 15.0cm
2025-07-17 12:00:51,862 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse Armor Magsafe case for iPhone 15 Black on Third Party Row 2: 1 facings, 11.0cm wide at position 15.0cm
2025-07-17 12:00:51,864 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed Pulse TANK Gradient Magsafe case for iPhone 15-Blue on Third Party Row 3: 1 facings, 11.0cm wide at position 15.0cm
2025-07-17 12:00:51,864 | DEBUG    | base_optimizer  | _place_product_on_shelf | Successfully placed PULSE ARMOUR Case for iPhone 16-Black on Third Party Row 4: 1 facings, 11.0cm wide at position 15.0cm
