2025-07-22 19:47:51,974 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250722.log
2025-07-22 19:47:51,976 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-22 19:47:51,976 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-22 19:47:51,976 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-22 19:47:51,976 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-22 19:47:52,520 | INFO     | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Generated intelligent cases planogram: output/Smart Cases Layout_large_cases_planogram_20250722_194752.png
2025-07-22 19:49:08,122 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-22 19:49:08,122 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-22 19:49:08,123 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-22 19:49:08,124 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-22 19:49:08,649 | INFO     | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Generated intelligent cases planogram: output/Smart Cases Layout_large_cases_planogram_20250722_194908.png
2025-07-22 19:50:24,797 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250722.log
2025-07-22 19:50:24,797 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-22 19:50:24,798 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-22 19:50:24,798 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
2025-07-22 19:50:24,798 | INFO     | smart_accessory_optimizer | _balance_variants    | Balanced variants: ['iPhone 16 Pro Max', 'iPhone 16 Pro', 'iPhone 16 Plus', 'iPhone 16 Base', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max', 'iPhone 16 Pro Max']
2025-07-22 19:50:25,264 | INFO     | smart_accessory_optimizer | _generate_intelligent_cases_planogram | Generated intelligent cases planogram: output/Smart Cases Layout_large_cases_planogram_20250722_195024.png
2025-07-22 20:43:58,306 | INFO     | logger          | __init__             | Logging initialized. Log file: logs\planogram_20250722.log
2025-07-22 20:43:58,306 | INFO     | smart_accessory_optimizer | optimize             | Running smart accessory optimization for: cases
2025-07-22 20:43:58,308 | INFO     | smart_accessory_optimizer | _optimize_cases      | Optimizing iPhone cases with smart allocation...
2025-07-22 20:43:58,308 | INFO     | smart_accessory_optimizer | _allocate_walls_for_cases | Wall allocation strategy: ['cases_apple', 'cases_tpa', 'accessories']
