product_name                                                                                           , series       , category      , subcategory   , brand          , width, height, depth, core_product, frequency
Gripp Compaq Hardshel for Apple Macbook Pro 14 M1 -2021 - Black                                        , MacBook Pro  , hardshell case, Black         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,        11
Gripp Compaq Hardshel for Apple Macbook Pro 14 M1 -2021 - Frost                                        , MacBook Pro  , hardshell case, Frost         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,         2
Gripp Compaq Hardshel for Apple Macbook Pro 16 M1 - 2021 - Frost                                       , MacBook Pro  , hardshell case, Frost         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,         6
Gripp Compaq Macbook Air Hardshel case 13 M1 2020 & Retina 2020 - Black                                , MacBook Air  , hardshell case, Black         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,        14
Gripp Compaq Macbook Air Hardshel case 13 M1 2020 & Retina 2020 - Frost                                , MacBook Air  , hardshell case, Frost         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,        21
Gripp Compaq Macbook Air Hardshel case 13 M1 2020 & Retina 2020 - Navy Blue                            , MacBook Air  , hardshell case, Navy Blue     , Gripp          ,  30.0,    1.5,  21.0, Mac         ,         5
Gripp Compaq Macbook Air Hardshel case 13 M1 2020 & Retina 2020 - Smoke                                , MacBook Air  , hardshell case, Smoke         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,         4
Gripp Compaq Macbook Air Hardshel case 13.6 (M2 2022) - Black                                          , MacBook Air  , hardshell case, Black         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,        63
Gripp Compaq Macbook Air Hardshel case 13.6 (M2 2022) - Frost                                          , MacBook Air  , hardshell case, Frost         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,        57
Gripp Compaq Macbook Air Hardshel case 13.6 (M2 2022) - Smoke                                          , MacBook Air  , hardshell case, Smoke         , Gripp          ,  30.0,    1.5,  21.0, Mac         ,        36
Gripp Defence Macbook Air 13 Hardshel case (M1 2020 & Retina 2020) - Grey                              , MacBook Air  , hardshell case, Grey          , Gripp          ,  30.0,    1.5,  21.0, Mac         ,        11
Gripp Defence Macbook Air 13.6 Hardshel case (M2 2022) - Grey                                          , MacBook Air  , hardshell case, Grey          , Gripp          ,  30.0,    1.5,  21.0, Mac         ,        33
Gripp Defence Macbook Pro 13 Hardshel Case (M2 - 2022 & M1 - 2021 ) - Grey                             , MacBook Pro  , hardshell case, Grey          , Gripp          ,  30.0,    1.5,  21.0, Mac         ,         9
Gripp Keyboard Skin for Apple Macbook Pro 13 2022 - 2020 - Black                                       , MacBook Pro  , keyboard skin , Black         , Gripp          ,  30.0,    0.1,  20.0, Mac         ,         7
Gripp Keyboard Skin for Apple Macbook Pro 14 and 16 M1 - 2021 - Black                                  , MacBook Pro  , keyboard skin , Black         , Gripp          ,  30.0,    0.1,  20.0, Mac         ,       146
Gripp Keyboard Skin for Macbook Air 13 2020 - Black                                                    , MacBook Air  , keyboard skin , Black         , Gripp          ,  30.0,    0.1,  20.0, Mac         ,        18
Gripp LUXURY Premium Leather Laptop Sleeve for 14 - Black                                              , Mac Universal, sleeve        , Black         , Gripp          ,  30.0,    0.3,  20.0, Mac         ,        82
Gripp LUXURY Premium Leather Laptop Sleeve for 14 - Blue                                               , Mac Universal, sleeve        , Blue          , Gripp          ,  30.0,    0.3,  20.0, Mac         ,        18
Gripp LUXURY Premium Leather Laptop Sleeve for 14 - Brown                                              , Mac Universal, sleeve        , Brown         , Gripp          ,  30.0,    0.3,  20.0, Mac         ,        78
Gripp LUXURY Premium Leather Laptop Sleeve for 14 - Purple                                             , Mac Universal, sleeve        , Purple        , Gripp          ,  30.0,    0.3,  20.0, Mac         ,        15
Gripp LUXURY Premium Leather Laptop Sleeve for 14 - Yellow                                             , Mac Universal, sleeve        , Yellow        , Gripp          ,  30.0,    0.3,  20.0, Mac         ,        31
Gripp MALLEABLE Premium Leather Laptop Sleeve for 14 - Black                                           , Mac Universal, sleeve        , Black         , Gripp          ,  30.0,    0.3,  20.0, Mac         ,         4
Gripp MALLEABLE Premium Leather Laptop Sleeve for 14 - Brown                                           , Mac Universal, sleeve        , Brown         , Gripp          ,  30.0,    0.3,  20.0, Mac         ,        16
Gripp MALLEABLE Premium Leather Laptop Sleeve for 14 - Dark Blue                                       , Mac Universal, sleeve        , Blue          , Gripp          ,  30.0,    0.3,  20.0, Mac         ,        18
Gripp MALLEABLE Premium Leather Laptop Sleeve for 14 - Green                                           , Mac Universal, sleeve        , Green         , Gripp          ,  30.0,    0.3,  20.0, Mac         ,        19
Gripp MALLEABLE Premium Leather Laptop Sleeve for 14 - Grey                                            , Mac Universal, sleeve        , Grey          , Gripp          ,  30.0,    0.3,  20.0, Mac         ,        19
Gripp MALLEABLE Premium Leather Laptop Sleeve for 14 - Red                                             , Mac Universal, sleeve        , Red           , Gripp          ,  30.0,    0.3,  20.0, Mac         ,        22
Gripp Riser Laptop Stand - Grey                                                                        , Mac Universal, stand         , Grey          , Gripp          ,  15.0,   10.0,  15.0, Mac         ,        64
HYPHEN 801 Ladies Laptop Bag for 14                                                                    , Mac Universal, bag           , Default       , HYPHEN         ,  35.0,    8.0,  28.0, Mac         ,         3
HYPHEN DUOKIT Earbuds Cleaning Pen - White                                                             , Mac Universal, cleaning      , White         , HYPHEN         ,   5.0,    2.0,  12.0, Mac         ,         4
HYPHEN Sling Bag 203- Black                                                                            , Mac Universal, bag           , Black         , HYPHEN         ,  35.0,    8.0,  28.0, Mac         ,         6
