SubSeries,Product Name,PureQty,ImpureQty,FinalQty
iPhone 16 Base,Lightning to USB Cable  1m ,5.0,0,5.0
iPhone 16 Base,USB-C to Lightning Cable  1m ,22.5,0,22.5
iPhone 16 Plus,Lightning to USB Cable  1m ,5.0,0,5.0
iPhone 16 Plus,USB-C to Lightning Cable  1m ,15.0,0,15.0
iPhone 16 Pro,Lightning to USB Cable  1m ,7.0,0,7.0
iPhone 16 Pro,USB-C to Lightning Cable  1m ,17.0,0,17.0
iPhone 16 Pro Max,Lightning to USB Cable  1m ,7.0,0,7.0
iPhone 16 Pro Max,USB-C to Lightning Cable  1m ,25.0,0,25.0
