lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
iPad,iPad Pro,Case,TEKNE Shockproof vegan leather case with stand function for iPad pro 13  M4 -Black,167,0.0078769869345785,1
iPad,iPad Standard,Charger/Adapter,PULSE PD20W wall charger - white,140,0.007158196134574,1
iPad,iPad Pro,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,147,0.0069336352058865,1
iPad,iPad Air,Apple Pencil,Apple Pencil  2nd Generation ,168,0.0069005175388154,1
iPad,iPad Air,Case,Gripp Ultra Case for Apple iPad Air 11  2024    Grey,166,0.0068183685204961,1
iPad,iPad Pro,Charger/Adapter,35W Dual USB-C Power Adapter,144,0.0067921324465827,1
iPad,iPad Mini,Charger/Adapter,MagSafe Charger  1 m ,15,0.006578947368421,1
iPad,iPad Mini,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,15,0.006578947368421,1
iPad,iPad Pro,Apple Pencil,APPLE PENCIL  USB-C ,136,0.0064147917551058,1
iPad,iPad Air,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,153,0.0062843999014211,1
iPad,iPad Air,Case,TEKNE Shockproof vegan leather case with stand function for iPad Air 13  M2 -Black,152,0.0062433253922615,1
iPad,iPad Air,Charger/Adapter,PULSE PD20W wall charger - white,152,0.0062433253922615,1
iPad,iPad Standard,Case,Gripp Ultra Case for Apple iPad 10.9 (10th Generation) 2022 - Black,121,0.0061867266591676,1
iPad,iPad Pro,Cable,PULSE PD60W USBC to USBC Braided Cable 1.2M,131,0.0061789538229328,1
iPad,iPad Standard,Charger/Adapter,35W Dual USB-C Power Adapter,120,0.0061355966867777,1
iPad,iPad Air,Case,TEKNE Shockproof vegan leather case with stand function for iPad 10th Gen 10.9 -Black,147,0.0060379528464634,1
iPad,iPad Standard,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,118,0.0060333367419981,1
iPad,iPad Pro,Case,Gripp Ultra Case for Apple iPad Pro 13  2024    Black,127,0.0059902834771944,1
iPad,iPad Pro,Charger/Adapter,PULSE PD20W wall charger - white,127,0.0059902834771944,1
iPad,iPad Air,Case,TEKNE Shockproof vegan leather case with stand function for iPad Air 13  M2 -Grey,136,0.0055861332457077,1
iPad,iPad Air,Cable,PULSE PD60W USBC to USBC Braided Cable 1.2M,135,0.005545058736548,1
iPad,iPad Pro,Cable,60W USB C WOVEN CHARGE CABLE 1M / PartID: 22334,113,0.00532993726711,1
iPad,iPad Standard,Case,Gripp Ultra Case for Apple iPad 10.9 (10th Generation) 2022 - Grey,104,0.0053175171285407,1
iPad,iPad Mini,Apple Pencil,APPLE PENCIL  USB-C ,12,0.0052631578947368,1
