lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
Watch,Apple Watch SE,Cable,USB-C to Lightning Cable  1m ,2160,0.11246485473289597,1
Watch,Apple Watch Other,Cable,USB-C to Lightning Cable  1m ,3354,0.11120320944265774,1
Watch,Apple Watch Series,Cable,USB-C to Lightning Cable  1m ,293,0.09473003556417717,1
Watch,Apple Watch Other,Charger/Adapter,20W USB-C Power Adapter,2721,0.09021584164981267,1
Watch,Apple Watch SE,Charger/Adapter,20W USB-C Power Adapter,1713,0.08919087785067166,1
Watch,Apple Watch Ultra,Cable,USB-C to Lightning Cable  1m ,220,0.08853118712273642,1
Watch,Apple Watch Series,Charger/Adapter,20W USB-C Power Adapter,263,0.08503071451665051,1
Watch,Apple Watch Ultra,Charger/Adapter,20W USB-C Power Adapter,165,0.06639839034205232,1
Watch,Apple Watch Other,Other,Apple EarPods with Lightning Connector,1710,0.05669573290010278,1
Watch,Apple Watch Other,Other,EarPods  USB-C ,1636,0.054242233347700675,1
Watch,Apple Watch SE,Other,EarPods  USB-C ,1030,0.05362907424763095,1
Watch,Apple Watch SE,Other,Apple EarPods with Lightning Connector,975,0.050765385816932206,1
Watch,Apple Watch Series,Other,Apple EarPods with Lightning Connector,152,0.04914322664080181,1
Watch,Apple Watch Ultra,Other,EarPods  USB-C ,121,0.04869215291750503,1
Watch,Apple Watch Other,Cable,Lightning to USB Cable  1m ,1438,0.047677464275057195,1
Watch,Apple Watch SE,Cable,Lightning to USB Cable  1m ,894,0.04654795376444861,1
Watch,Apple Watch Ultra,Other,Apple EarPods with Lightning Connector,115,0.04627766599597585,1
Watch,Apple Watch Series,Other,EarPods  USB-C ,141,0.04558680892337536,1
Watch,Apple Watch Series,Cable,Lightning to USB Cable  1m ,115,0.03718073068218558,1
Watch,Apple Watch SE,Cable,USB-C CHARGE CABLE  1M -ZML,688,0.03582213891492242,1
Watch,Apple Watch Ultra,Cable,Lightning to USB Cable  1m ,88,0.035412474849094565,1
Watch,Apple Watch Series,Other,TEKNE Spotfree Cleaning Spray,100,0.032331070158422244,1
Watch,Apple Watch Other,Cable,USB-C CHARGE CABLE  1M -ZML,923,0.030602433606312787,1
Watch,Apple Watch SE,Charger/Adapter,PULSE 30W Single port Adapter,549,0.02858481724461106,1
Watch,Apple Watch Series,Cable,USB-C CHARGE CABLE  1M -ZML,83,0.026834788231490464,1
Watch,Apple Watch SE,Cable,240W USB-C Charge Cable  2 m ,469,0.0244194522545038,1
Watch,Apple Watch Other,Cable,240W USB-C Charge Cable  2 m ,722,0.023938198335598952,1
Watch,Apple Watch Ultra,Other,TEKNE Spotfree Cleaning Spray,58,0.023340040241448694,1
