lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
Mac,iMac,Apple Pencil,Apple Pencil Pro,5,0.016556291390728478,1
Mac,iMac,Charger/Adapter,PULSE PD20W wall charger - white,5,0.016556291390728478,1
Mac,Mac Mini,Other,PULSE ultra slim 5000mAh Magnetic power bank,42,0.01636788776305534,1
Mac,MacBook Pro,Other,TEKNE macbook essential Kit for Macbook pro 14 M3 -Space Black,32,0.015632633121641426,1
Mac,MacBook Pro,Other,BELKIN 4-OUTLET SURGE PROT 1.5M CORD GREY,31,0.015144113336590131,1
Mac,MacBook Pro,Charger/Adapter,20W USB-C Power Adapter,31,0.015144113336590131,1
Mac,Mac Mini,Charger/Adapter,30W USB-C Power Adapter,37,0.014419329696024942,1
Mac,Mac Mini,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,34,0.013250194855806703,1
Mac,iMac,Mouse/Trackpad,Magic Trackpad,4,0.013245033112582781,1
Mac,iMac,Other,Apple TV 4K WiFi   Ethernet with 128GB storage,4,0.013245033112582781,1
Mac,iMac,Case,Tekne CLEAR Case with Camera stand for iPhone 16 Pro Max-Grey,4,0.013245033112582781,1
Mac,iMac,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 30 ml,4,0.013245033112582781,1
Mac,iMac,Case,Pulse TPU TPE PC shockproof case for iPhone 15 Pro-Light Blue,4,0.013245033112582781,1
Mac,iMac,Mouse/Trackpad,Magic Mouse White -  USB-C ,4,0.013245033112582781,1
Mac,iMac,Other,PULSE ultra slim 5000mAh Magnetic power bank,4,0.013245033112582781,1
Mac,iMac,Charger/Adapter,PULSE 3 IN 1 Magsafe charger - White,4,0.013245033112582781,1
Mac,MacBook Air,Other,Pulse Magnetic privacy filter for MacBook Air 15.3 inch M2 M3 2023  2024 ,110,0.012876038862226383,1
Mac,Mac Mini,Other,TEKNE essential USB-C Hub,33,0.012860483242400623,1
Mac,MacBook Pro,Apple Pencil,Apple Pencil Pro,26,0.012701514411333659,1
Mac,MacBook Pro,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 30 ml,26,0.012701514411333659,1
Mac,MacBook Air,Cable,Lightning to USB Cable  1m ,107,0.012524874165983847,1
Mac,Mac Mini,Keyboard,Magic Keyboard USB-C,32,0.012470771628994544,1
Mac,MacBook Pro,Mouse/Trackpad,Apple Magic Mouse 2 - Silver,23,0.011235955056179775,1
Mac,Mac Mini,Keyboard,Apple Magic Keyboard - US English,28,0.010911925175370226,1
Mac,Mac Mini,Apple Pencil,Apple Pencil Pro,28,0.010911925175370226,1
Mac,MacBook Air,Other,TEKNE Gadget Organiser- Olive Green,93,0.010886105583518671,1
Mac,MacBook Pro,Other,EarPods  USB-C ,22,0.01074743527112848,1
Mac,MacBook Air,Mouse/Trackpad,Apple Magic Mouse 2 - Silver,88,0.010300831089781108,1
Mac,Mac Mini,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 30 ml,26,0.010132501948558068,1
Mac,iMac,Cable,USB-C to Lightning Cable  1m ,3,0.009933774834437087,1
Mac,iMac,Other,TEKNE Gadget Organiser- Olive Green,3,0.009933774834437087,1
Mac,iMac,Keyboard,Apple Magic Keyboard - US English,3,0.009933774834437087,1
Mac,iMac,Mouse/Trackpad,Apple Magic Mouse 2 - Silver,3,0.009933774834437087,1
Mac,iMac,Charger/Adapter,PULSE Mag-Lead   3in1 Wireless charger-White,3,0.009933774834437087,1
Mac,iMac,Other,ALOGIC USB-C Fusion SWIFT 4-in-1 Hub,3,0.009933774834437087,1
Mac,MacBook Air,Charger/Adapter,PULSE PD20W wall charger - white,84,0.009832611494791057,1
Mac,MacBook Pro,Case,NATIVE UNION STOW MACBOOK CASE FABRIC SLATE 13,20,0.009770395701025891,1
Mac,MacBook Air,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 30 ml,83,0.009715556596043545,1
Mac,MacBook Air,Mouse/Trackpad,Magic Mouse White -  USB-C ,82,0.009598501697296032,1
Mac,Mac Mini,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,23,0.008963367108339828,1
Mac,MacBook Pro,Other,Belkin-6-OUTLET SURGE PROTECTOR  2 METER CORD,18,0.008793356130923302,1
Mac,MacBook Pro,Cable,USB-C to Lightning Cable  1m ,17,0.008304836345872008,1
Mac,MacBook Pro,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,17,0.008304836345872008,1
Mac,Mac Mini,Cable,PULSE PD60W USBC to USBC Braided Cable 1.2M,21,0.00818394388152767,1
Mac,MacBook Pro,Cable,TEKNE 240W USB4 Braided Cable,16,0.007816316560820713,1
Mac,MacBook Pro,Other,Tucano Gommo Slimbag-Black Macbooks upto 16,15,0.0073277967757694185,1
Mac,MacBook Pro,Mouse/Trackpad,Magic Mouse Black -  USB-C ,15,0.0073277967757694185,1
Mac,MacBook Pro,Other,Tucano Gommo Slimbag-Black Macbooks 13   14,15,0.0073277967757694185,1
Mac,MacBook Pro,Other,MOFT logo debossed only laptop stand fits up to 15.6 laptops - Space Grey,15,0.0073277967757694185,1
Mac,MacBook Air,Other,BELKIN 4-OUTLET SURGE PROT 1.5M CORD GREY,62,0.00725740372234578,1
Mac,Mac Mini,Mouse/Trackpad,Apple Magic Mouse 2 - Silver,18,0.007014809041309431,1
Mac,Mac Mini,Other,AirPods Pro  2nd generation  Ear Tips - 2 sets  Medium ,18,0.007014809041309431,1
Mac,Mac Mini,Charger/Adapter,35W Dual USB-C Power Adapter,18,0.007014809041309431,1
Mac,MacBook Air,Apple Pencil,Apple Pencil Pro,59,0.006906239026103243,1
Mac,MacBook Pro,Other,Tucano Second Skin sleeve designed especially for 13.3  and 14  notebooks - Black,14,0.006839276990718124,1
Mac,MacBook Pro,Charger/Adapter,PULSE 30W Single port Adapter,14,0.006839276990718124,1
Mac,MacBook Pro,Other,Tucano Gommo Sleeve Ultrabooks   Macbooks 13 -Grey,14,0.006839276990718124,1
Mac,MacBook Pro,Cable,240W USB-C Charge Cable  2 m ,14,0.006839276990718124,1
Mac,iMac,Mouse/Trackpad,Magic Trackpad Black -  USB-C ,2,0.006622516556291391,1
Mac,iMac,Other,Tucano Isotta Slim bag 15 /16  - Pink,2,0.006622516556291391,1
Mac,iMac,Other,Tucano Gommo Sleeve 15 /16  - Grey,2,0.006622516556291391,1
Mac,iMac,Other,SanDisk Extreme Portable SSD 1050MB s R 1TB Monterey color IP 65 resistance and 3 meter drop protection,2,0.006622516556291391,1
Mac,iMac,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,2,0.006622516556291391,1
Mac,iMac,Cable,PULSE PD60W USBC to USBC Braided Cable 1.2M,2,0.006622516556291391,1
Mac,iMac,Case,Gripp Airpods Pro 2 Case + Strap + Keyring Hook - Charcoal,2,0.006622516556291391,1
Mac,iMac,Cable,TEKNE essential iPhone 60W Silicone charging Cable-White,2,0.006622516556291391,1
Mac,iMac,Charger/Adapter,MagSafe Charger,2,0.006622516556291391,1
Mac,iMac,Case,RIVACASE 8221 black Laptop bag 13 3 / 6,2,0.006622516556291391,1
Mac,iMac,Other,Pulse Magnetic privacy filter for MacBook Air 13.6inch M2 M3  2022- 2024 ,2,0.006622516556291391,1
Mac,iMac,Other,Apple EarPods with Lightning Connector,2,0.006622516556291391,1
Mac,iMac,Other,Apple AirTag  4 Pack ,2,0.006622516556291391,1
Mac,MacBook Air,Charger/Adapter,Pulse 40W Dual Port  PD GaN charger,55,0.006438019431113192,1
Mac,MacBook Pro,Other,Tucano Gommo Sleeve-Blue upto Macbooks 16,13,0.006350757205666829,1
Mac,MacBook Air,Cable,60W USB C WOVEN CHARGE CABLE 1M / PartID: 22334,54,0.006320964532365679,1
Mac,Mac Mini,Keyboard,Apple Magic Keyboard with Touch ID and Numeric Keypad for Mac models with Apple silicon - Black Keys - US English,16,0.006235385814497272,1
Mac,MacBook Pro,Other,Tucano Gommo Sleeve Laptops upto 15.6   Macbooks upto 16 -Military Green,12,0.005862237420615535,1
Mac,MacBook Pro,Charger/Adapter,Apple MJ1M2ZM/A USB-C to USB Adapter/PARTID 10795,12,0.005862237420615535,1
Mac,MacBook Pro,Other,Tucano Smilza Slim Bag-Blue,12,0.005862237420615535,1
Mac,MacBook Pro,Other,MBP 14 M3 PRO SB/11C/14C GPU/18G/512GB,12,0.005862237420615535,1
Mac,Mac Mini,Charger/Adapter,MagSafe Charger  1 m ,15,0.005845674201091193,1
Mac,Mac Mini,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,15,0.005845674201091193,1
Mac,MacBook Air,Other,TEKNE macbook essential Kit for 13-inch MacBook Air with  M2 chip - Midnight,49,0.005735690038628116,1
Mac,MacBook Pro,Other,Tucano Smilza Slimbag Macbooks upto 16   Laptops upto 15.6 -Blue,11,0.00537371763556424,1
Mac,MacBook Pro,Other,Apple EarPods with Lightning Connector,11,0.00537371763556424,1
Mac,MacBook Pro,Other,Tucano Smilza Slim Bag-Black,11,0.00537371763556424,1
Mac,MacBook Air,Other,Tucano Sandy Sleeve 13/14,44,0.005150415544890554,1
Mac,MacBook Air,Other,Lab Grown Diamond Studded Silver jewellery,44,0.005150415544890554,1
Mac,MacBook Air,Other,PULSE ultra slim 5000mAh Magnetic power bank,44,0.005150415544890554,1
Mac,MacBook Air,Other,AirTag  1 Pack ,44,0.005150415544890554,1
Mac,Mac Mini,Other,Belkin-6-OUTLET SURGE PROTECTOR  2 METER CORD,13,0.005066250974279034,1
Mac,Mac Mini,Other,BELKIN 4-OUTLET SURGE PROT 1.5M CORD GREY,13,0.005066250974279034,1
Mac,Mac Mini,Charger/Adapter,PULSE Mag-Lead   3in1 Wireless charger-White,13,0.005066250974279034,1
Mac,MacBook Air,Other,Tucano Smilza Slim Bag-Black,43,0.005033360646143041,1
Mac,MacBook Air,Cable,Pulse 1.2m  Sillicone lighting cable,43,0.005033360646143041,1
Mac,MacBook Pro,Other,Tucano Smilza Slimbag Macbooks upto 16   Laptops upto 15.6 -Black,10,0.004885197850512946,1
Mac,MacBook Pro,Keyboard,Gripp Keyboard Skin for Apple Macbook Pro 14 and 16 M1 - 2021 - Black,10,0.004885197850512946,1
Mac,MacBook Pro,Other,Tucano Colore Sleeve 13/14,10,0.004885197850512946,1
Mac,MacBook Pro,Other,tomtoc Laptop Sleeve 14  Black,10,0.004885197850512946,1
Mac,MacBook Pro,Other,PULSE ultra slim 5000mAh Magnetic power bank,10,0.004885197850512946,1
Mac,MacBook Air,Charger/Adapter,30W USB-C Power Adapter,41,0.004799250848648016,1
Mac,MacBook Air,Cable,240W USB-C Charge Cable  2 m ,40,0.004682195949900503,1
Mac,Mac Mini,Charger/Adapter,70W USB-C Power Adapter,12,0.004676539360872954,1
Mac,Mac Mini,Other,AirPods Pro  2nd gen  Ear Tips - 2 sets Small,12,0.004676539360872954,1
Mac,Mac Mini,Cable,USB-C to Lightning Cable  2 m ,12,0.004676539360872954,1
Mac,Mac Mini,Cable,Powerup QuadMax 4IN1 66W Zinc Alloy 1.2m Cable,12,0.004676539360872954,1
Mac,MacBook Pro,Cable,USB-C CHARGE CABLE  1M -ZML,9,0.004396678065461651,1
Mac,MacBook Pro,Cable,PULSE PD60W USBC to USBC Braided Cable 1.2M,9,0.004396678065461651,1
Mac,MacBook Pro,Other,Tucano Gommo Sleeve-Black Ultrabooks   Macbooks 13,9,0.004396678065461651,1
Mac,MacBook Pro,Other,Tucano Gommo Sleeve-Blue Ultrabooks   Macbooks 13,9,0.004396678065461651,1
Mac,MacBook Pro,Cable,Apple USB-C to Magsafe 3 Cable  2 m ,9,0.004396678065461651,1
Mac,MacBook Pro,Other,MBP 14 SG/8C/10C GPU/8GB/512GB-Space Grey / PartID: 25875,9,0.004396678065461651,1
Mac,MacBook Air,Cable,USB-C CHARGE CABLE  1M -ZML,37,0.004331031253657965,1
Mac,MacBook Air,Charger/Adapter,PULSE 30W Single port Adapter,37,0.004331031253657965,1
Mac,Mac Mini,Charger/Adapter,PULSE PD20W wall charger - white,11,0.004286827747466875,1
Mac,MacBook Air,Other,USB-C TO USB-C ZINC-ALLOY HOUSING PD 100W,36,0.004213976354910453,1
Mac,MacBook Air,Other,EarPods with 3.5mm Headphone Plug,35,0.004096921456162941,1
Mac,MacBook Air,Other,PULSE 5000 mah Magsafe power bank - Black,35,0.004096921456162941,1
Mac,MacBook Air,Other,MOFT logo debossed only laptop stand fits up to 15.6 laptops - Space Grey,34,0.0039798665574154275,1
Mac,MacBook Air,Keyboard,Gripp Keyboard Skin for Apple Macbook Pro 14 and 16 M1 - 2021 - Black,34,0.0039798665574154275,1
Mac,MacBook Pro,Cable,TEKNE essential iPhone 60W Silicone charging Cable-White,8,0.0039081582804103565,1
Mac,MacBook Pro,Cable,Pulse 22.5W Fast Charging Power Bank with Cable,8,0.0039081582804103565,1
Mac,MacBook Pro,Other,Tucano Sandy Sleeve 13/14,8,0.0039081582804103565,1
Mac,MacBook Pro,Charger/Adapter,USB-C TO USB ADAPTER-ZML,8,0.0039081582804103565,1
Mac,MacBook Pro,Other,Tucano Smilza Slimbag Macbooks 13   Laptops upto 14 -Beige,8,0.0039081582804103565,1
