product_name,series,category,subcategory,brand,width,height,depth,core_product,frequency,shelf,position,x_coord,y_coord,z_coord
ALOGIC USB-C Fusion ALPHA 5-in-1 Hub - HDMI/USB/Ethernet & Power Delivery,Mac Universal,hub,Default,ALOGIC,8.0,2.0,16.0,Mac,8,6,4,28.4,20,0
Belkin ADAPTER USB-C TO HDMI VGA DVI DISPLAYPORT BLK,Mac Universal,charger,Default,Belkin,6.0,4.8,7.5,Mac,6,6,5,36.4,20,0
ALOGIC Ultra USB-C Dock UNI V2 - Space Grey,Mac Universal,hub,Grey,ALOGIC,8.0,2.0,16.0,Mac,6,6,6,42.4,20,0
Belkin iPhone Dock (Silver),Mac Universal,hub,Silver,Belkin,8.0,2.0,16.0,Mac,5,6,7,50.4,20,0
Powerup ELITE MICRO USB-C HUB 5IN1 (PD-4USB),Mac Universal,hub,Silver,PowerUP,8.0,2.0,16.0,Mac,5,7,1,0,0,0
Powerup MINI SPLITTER USB-C HUB 3IN1 (Type-C/HDMI/USB),Mac Universal,hub,Gunmetal,PowerUP,8.0,2.0,16.0,Mac,5,7,2,8,0,0
Xtrememac TYPE-C TO HDMI CABLE - 1M - Space Grey,Mac Universal,cable,Grey,Xtrememac,10.2,2.8,15.5,Mac,5,7,3,16,0,0
ALOGIC USB-C Laptop/Macbook Wall Charger 60W with Power Delivery,MacBook,charger,Default,ALOGIC,6.0,4.8,7.5,Mac,4,7,4,26.2,0,0
ALOGIC USB-C MultiPort Adapter with Card Reader/3 x USB 3.0 Hub,Mac Universal,hub,Default,ALOGIC,8.0,2.0,16.0,Mac,4,7,5,32.2,0,0
Xtrememac MAGNETIC PRIVACY FILTER FOR MACBOOK PRO 13,MacBook Pro,privacy filter,Default,Xtrememac,30.0,0.3,20.0,Mac,4,7,6,40.2,0,0
