Series,Product Name,PureQty,ImpureQty,FinalQty
iPhone 16 Plus,Pulse CLEAR Case with Camera stand for iPhone 16 Plus-Dark Blue,50,12,62
iPhone 16 Plus,Pulse CLEAR Case with Camera stand for iPhone 16 Plus-Grey,57,15,72
iPhone 16 Plus,Pulse CLEAR Case with Camera stand for iPhone 16 Plus-White,116,11,127
iPhone 16 Plus,Pulse CRYSTAL Case with Metal Camera Stand for iPhone 16 Plus-Black,77,19,96
iPhone 16 Plus,Pulse CRYSTAL Case with Metal Camera Stand for iPhone 16 Plus-Grey,82,12,94
iPhone 16 Plus,Pulse CRYSTAL Case with Metal Camera Stand for iPhone 16 Plus-White,182,42,224
iPhone 16 Plus,Pulse SILICON Case for iPhone 16 Plus-Black,78,15,93
iPhone 16 Plus,Pulse SILICON Case for iPhone 16 Plus-Storm Blue,36,12,48
iPhone 16 Plus,Pulse Vegan Leather Case for iPhone 16 Plus-Black,28,8,36
iPhone 16 Plus,Pulse Vegan Leather Case for iPhone 16 Plus-Blue,16,4,20
iPhone 16 Plus,Pulse Vegan Leather Case for iPhone 16 Plus-Brown,11,3,14
iPhone 16 Plus,UAG- Metropolis LT Magsafe Case for iphone 16 Plus- 14348-Kevlar Black,1,0,1
iPhone 16 Plus,UAG-Plasma XTE Magsafe Case for iphone 16 Plus- 14997-Black/Orange,1,0,1
iPhone 16 Pro,Gripp Clear Case for Apple iPhone 16 Pro  6.3  - Clear,31,33,64
iPhone 16 Pro,Gripp Clear MagSafe Case for Apple iPhone 16 Pro  6.3  with White Ring - Clear,49,42,91
iPhone 16 Pro,Gripp Dusk MagSafe Case for Apple iPhone 16 Pro  6.3  - Black,36,28,64
iPhone 16 Pro,Gripp Glacier Slim MagSafe Case for Apple iPhone 16 Pro  6.3  - Gunmetal,9,10,19
iPhone 16 Pro,Gripp Glacier Slim MagSafe Case for Apple iPhone 16 Pro  6.3  - Natural Titanium,22,25,47
iPhone 16 Pro,Gripp Glacier Slim MagSafe Case for Apple iPhone 16 Pro  6.3  - Rose Gold,51,45,96
iPhone 16 Pro,Gripp Holdit MagSafe Case for Apple iPhone 16 Pro  6.3  - Grey,2,6,8
iPhone 16 Pro,Gripp Holdit MagSafe Case for Apple iPhone 16 Pro  6.3  - R.Gold,7,8,15
iPhone 16 Pro,Gripp Matrix MagSafe Case for Apple iPhone 16 Pro  6.3  - Black,12,11,23
