lob,core_product,accessory_category,accessory_product,purchase_frequency,attach_rate,recommended_facings
AirPods,AirPods Standard,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,258,0.006559377621844253,1
AirPods,AirPods Pro,Other,AirPods Pro  2nd gen  Ear Tips - 2 sets Small,252,0.006525623430095554,1
AirPods,AirPods Standard,Other,AirPods Pro  2nd gen  Ear Tips - 2 sets Small,253,0.006432257900490682,1
AirPods,AirPods Pro,Other,PanzerGlass SPRAY Twice A Day Antibacterial screen cleaner 100 ml,247,0.006396146774736515,1
AirPods,AirPods Standard,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,247,0.006279714234866397,1
AirPods,AirPods Max,Charger/Adapter,Powerup Max Charge 20W USB Type-C Ultra Smart Wall Charger - White,9,0.005829015544041451,1
AirPods,AirPods Max,Other,EarPods with 3.5mm Headphone Plug,9,0.005829015544041451,1
AirPods,AirPods Max,Case,AirPods  3rd generation  with MagSafe Charging Case,9,0.005829015544041451,1
AirPods,AirPods Max,Other,AirPods Pro  2nd generation  Ear Tips - 2 sets  Large ,9,0.005829015544041451,1
AirPods,AirPods Standard,Charger/Adapter,PULSE Mag-Lead   3in1 Wireless charger-White,223,0.005669539572369257,1
AirPods,AirPods Pro,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,218,0.0056451821736540906,1
AirPods,AirPods Pro,Charger/Adapter,70W USB-C Power Adapter,211,0.005463914856151436,1
AirPods,AirPods Pro,Charger/Adapter,PULSE Mag-Lead   3in1 Wireless charger-White,210,0.005438019525079628,1
AirPods,AirPods Standard,Charger/Adapter,70W USB-C Power Adapter,211,0.005364452241120687,1
AirPods,AirPods Pro,Charger/Adapter,MagSafe Charger  1 m ,203,0.005256752207576974,1
AirPods,AirPods Pro,Apple Pencil,APPLE PENCIL  USB-C ,202,0.005230856876505166,1
AirPods,AirPods Max,Charger/Adapter,USB-C to 3.5 mm Headphone Jack Adapter,8,0.0051813471502590676,1
AirPods,AirPods Max,Charger/Adapter,70W USB-C Power Adapter,8,0.0051813471502590676,1
AirPods,AirPods Max,Cable,PULSE PD60W USBC to USBC Braided Cable 1.2M,8,0.0051813471502590676,1
AirPods,AirPods Max,Other,Belkin PVC C-LTG 1M  MIDNIGHT GREEN- C to Lightning,8,0.0051813471502590676,1
AirPods,AirPods Pro,Charger/Adapter,Pulse PD35W wall charger  indian pin,196,0.00507548489007432,1
AirPods,AirPods Standard,Charger/Adapter,PULSE PD20W wall charger - white,191,0.004855973355706404,1
AirPods,AirPods Standard,Case,iPhone 16 Pro Max Clear Case with MagSafe,182,0.004627157857269977,1
AirPods,AirPods Max,Case,Pulse HORNOR Case for iPhone 15 Pro-Black,7,0.0045336787564766836,1
AirPods,AirPods Max,Apple Pencil,Apple Pencil  2nd Generation ,7,0.0045336787564766836,1
AirPods,AirPods Max,Charger/Adapter,Pulse PD35W wall charger  indian pin,7,0.0045336787564766836,1
AirPods,AirPods Max,Cable,TEKNE 240W USB4 Braided Cable,7,0.0045336787564766836,1
AirPods,AirPods Standard,Apple Pencil,APPLE PENCIL  USB-C ,178,0.00452546208018712,1
AirPods,AirPods Standard,Cable,TEKNE essential iPhone 60W Silicone charging Cable-White,177,0.004500038135916406,1
AirPods,AirPods Standard,Cable,Powerup QuadMax 4IN1 66W Zinc Alloy 1.2m Cable,173,0.004398342358833549,1
AirPods,AirPods Pro,Other,AirPods Pro  2nd generation  Ear Tips - 2 sets  Large ,169,0.00437631095113551,1
AirPods,AirPods Standard,Other,AirPods Pro  2nd generation  Ear Tips - 2 sets  Large ,169,0.004296646581750693,1
AirPods,AirPods Standard,Other,Belkin PVC C-LTG 1M  MIDNIGHT GREEN- C to Lightning,168,0.004271222637479978,1
AirPods,AirPods Pro,Case,iPhone 16 Pro Max Clear Case with MagSafe,163,0.004220938964704664,1
AirPods,AirPods Standard,Charger/Adapter,PULSE Mag-Lead  3in1 Wireless charger-Black,166,0.004220374748938551,1
AirPods,AirPods Standard,Cable,USB-C to Lightning Cable  2 m ,164,0.004169526860397122,1
AirPods,AirPods Pro,Other,Belkin PVC C-LTG 1M  MIDNIGHT GREEN- C to Lightning,160,0.004143252971489241,1
AirPods,AirPods Pro,Apple Pencil,Apple Pencil  2nd Generation ,158,0.004091462309345625,1
AirPods,AirPods Standard,Apple Pencil,Apple Pencil  2nd Generation ,153,0.0038898634734192664,1
AirPods,AirPods Max,Charger/Adapter,PULSE 65W dual USBC GAN PD adapter - White,6,0.0038860103626943004,1
AirPods,AirPods Max,Other,Apple AirTag  4 Pack ,6,0.0038860103626943004,1
AirPods,AirPods Max,Other,7 IN 1 MULTI PORT HUB(HUB)(COLOR SILVER),6,0.0038860103626943004,1
AirPods,AirPods Max,Charger/Adapter,MagSafe Charger  1 m ,6,0.0038860103626943004,1
AirPods,AirPods Max,Cable,TEKNE essential iPhone 60W Silicone charging Cable-White,6,0.0038860103626943004,1
AirPods,AirPods Pro,Cable,TEKNE essential iPhone 60W Silicone charging Cable-White,148,0.0038325089986275475,1
AirPods,AirPods Standard,Cable,TEKNE 240W USB4 Braided Cable,147,0.0037373198077949813,1
AirPods,AirPods Pro,Charger/Adapter,PULSE Mag-Lead  3in1 Wireless charger-Black,144,0.0037289276743403166,1
AirPods,AirPods Standard,Case,Tekne ARMOUR Case for iPhone 16 Pro-Black,146,0.003711895863524267,1
AirPods,AirPods Pro,Charger/Adapter,PULSE 3 IN 1 Magsafe charger - White,142,0.003677137012196701,1
AirPods,AirPods Pro,Cable,TEKNE 240W USB4 Braided Cable,140,0.0036253463500530853,1
AirPods,AirPods Standard,Case,iPhone 16 Pro Clear Case with MagSafe,139,0.003533928253629268,1
AirPods,AirPods Pro,Cable,Pulse 1.2m  Sillicone lighting cable,136,0.0035217650257658543,1
AirPods,AirPods Standard,Charger/Adapter,Pulse PD35W wall charger  indian pin,137,0.0034830803650878397,1
AirPods,AirPods Pro,Charger/Adapter,Lightning to 3.5 mm Headphone Jack Adapter,134,0.003469974363622239,1
AirPods,AirPods Standard,Case,iPhone 16 Pro Silicone Case with MagSafe - Black,135,0.0034322324765464116,1
AirPods,AirPods Standard,Other,Pulse 30W 10 000mAH Powerbank with TFT Display,135,0.0034322324765464116,1
AirPods,AirPods Standard,Other,Apple TV 4K WiFi   Ethernet with 128GB storage,134,0.0034068085322756974,1
AirPods,AirPods Standard,Other,Apple AirTag  4 Pack ,133,0.003381384588004983,1
AirPods,AirPods Pro,Charger/Adapter,PULSE 3in1 Travel Wireless charger,127,0.003288707046119585,1
AirPods,AirPods Standard,Case,iPhone 16 Clear Case with MagSafe,128,0.0032542648666514123,1
AirPods,AirPods Max,Charger/Adapter,PULSE Mag-Lead   3in1 Wireless charger-White,5,0.003238341968911917,1
AirPods,AirPods Max,Watch Band,Gripp 38/40mm stainless steel watch strap - Silver,5,0.003238341968911917,1
AirPods,AirPods Max,Other,HOMEPOD MINI - MIDNIGHT CONS,5,0.003238341968911917,1
AirPods,AirPods Max,Case,iPhone 16 Pro Max Clear Case with MagSafe,5,0.003238341968911917,1
AirPods,AirPods Max,Charger/Adapter,PULSE 3in1 Travel Wireless charger,5,0.003238341968911917,1
AirPods,AirPods Max,Watch Band,Gripp 45/49mm BRUT watch strap - Grey/Black,5,0.003238341968911917,1
AirPods,AirPods Max,Other,TEKNE Gadget Organiser- Olive Green,5,0.003238341968911917,1
AirPods,AirPods Pro,Charger/Adapter,Powerup Max Charge 20W USB Type-C Ultra Smart Wall Charger - White,125,0.0032369163839759693,1
AirPods,AirPods Pro,Other,EarPods with 3.5mm Headphone Plug,124,0.003211021052904161,1
AirPods,AirPods Pro,Case,Tekne ARMOUR Case for iPhone 16 Pro-Black,122,0.0031592303907605457,1
AirPods,AirPods Pro,Cable,Apple USB-C to Lightning Cable (1 m),120,0.0031074397286169303,1
AirPods,AirPods Standard,Case,Pulse Super crystal magsafe case for iPhone 15 Pro-Black,122,0.0031017212010271272,1
AirPods,AirPods Pro,Cable,Powerup QuadMax 4IN1 66W Zinc Alloy 1.2m Cable,119,0.0030815443975451226,1
AirPods,AirPods Pro,Cable,USB-C to Lightning Cable  2 m ,118,0.003055649066473315,1
AirPods,AirPods Pro,Other,Apple TV 4K WiFi   Ethernet with 128GB storage,118,0.003055649066473315,1
AirPods,AirPods Pro,Case,iPhone 16 Pro Silicone Case with MagSafe - Black,116,0.0030038584043296994,1
AirPods,AirPods Pro,Cable,TRANSPARENT HOUSING C TO C PD 100W DIGIT CABLE WITHWHITEÂ ,115,0.0029779630732578916,1
AirPods,AirPods Pro,Case,iPhone 16 Pro Clear Case with MagSafe,112,0.0029002770800424685,1
AirPods,AirPods Pro,Cable,240W USB-C Charge Cable (2 m),110,0.002848486417898853,1
AirPods,AirPods Standard,Charger/Adapter,PULSE 3in1 Travel Wireless charger,109,0.0027712099255078433,1
AirPods,AirPods Pro,Other,Pulse 30W 10 000mAH Powerbank with TFT Display,107,0.0027708004246834294,1
AirPods,AirPods Standard,Charger/Adapter,Powerup Max Charge 20W USB Type-C Ultra Smart Wall Charger - White,108,0.002745785981237129,1
AirPods,AirPods Pro,Other,Apple AirTag  4 Pack ,106,0.0027449050936116217,1
AirPods,AirPods Standard,Cable,60W USB C WOVEN CHARGE CABLE 1M / PartID: 22334,106,0.002694938092695701,1
AirPods,AirPods Pro,Case,iPhone 16 Clear Case with MagSafe,104,0.002693114431468006,1
AirPods,AirPods Standard,Other,BELKIN 4-OUTLET SURGE PROT 1.5M CORD GREY,105,0.0026695141484249867,1
AirPods,AirPods Max,Other,Pulse Magnetic privacy filter for MacBook Air 13.6inch M2 M3  2022- 2024 ,4,0.0025906735751295338,1
AirPods,AirPods Max,Charger/Adapter,PULSE Mag-Lead  3in1 Wireless charger-Black,4,0.0025906735751295338,1
AirPods,AirPods Max,Other,Pulse 30W 10 000mAH Powerbank with TFT Display,4,0.0025906735751295338,1
AirPods,AirPods Max,Charger/Adapter,PowerupÂ World Travel AdapterÂ With 2 USB & 1 Type-C Port Wall Charger - Silver,4,0.0025906735751295338,1
AirPods,AirPods Max,Cable,Pulse 22.5W Fast Charging Power Bank with Cable,4,0.0025906735751295338,1
AirPods,AirPods Max,Watch Band,Gripp 38/40mm stainless steel watch strap - Black,4,0.0025906735751295338,1
AirPods,AirPods Max,Case,Pulse Super crystal magsafe case for iPhone 15 Pro Max-Black,4,0.0025906735751295338,1
AirPods,AirPods Max,Other,Belkin GLASS SF APPLE  13/13 PRO TEMPERED GLASS AM TCP,4,0.0025906735751295338,1
AirPods,AirPods Max,Case,Pulse tire Magsafe case for iPhone 14-Black,4,0.0025906735751295338,1
AirPods,AirPods Max,Other,Apple TV 4K WiFi   Ethernet with 128GB storage,4,0.0025906735751295338,1
AirPods,AirPods Max,Case,Pulse Newton Magsafe Case for iPhone 15 Pro-Black,4,0.0025906735751295338,1
AirPods,AirPods Max,Case,Pulse Clear Magsafe Case for iPhone 15 Pro-Clear,4,0.0025906735751295338,1
AirPods,AirPods Max,Other,Gripp LUXURY Premium Leather Laptop Sleeve for 14 - Black,4,0.0025906735751295338,1
AirPods,AirPods Max,Case,Gripp CLARION Magsafe Case for Apple iPhone 14 Pro (6.1) - Purple,4,0.0025906735751295338,1
AirPods,AirPods Max,Case,Tekne ARMOUR Case for iPhone 16 Pro-Black,4,0.0025906735751295338,1
AirPods,AirPods Max,Charger/Adapter,Choetech 20W USB-C PD Adapter,4,0.0025906735751295338,1
AirPods,AirPods Max,Cable,Beats USB-C to Lightning Woven Cable  1.5 m  - Bolt Black,4,0.0025906735751295338,1
AirPods,AirPods Pro,Case,Pulse HORNOR Case for iPhone 15 Pro-Black,99,0.0025636377761089676,1
AirPods,AirPods Pro,Other,TEKNE Gadget Organiser- Olive Green,97,0.002511847113965352,1
AirPods,AirPods Standard,Case,Apple Watch Series 10 GPS 46mm Jet Black Aluminium Case with Black Sport Band - M/L,96,0.0024406986499885593,1
AirPods,AirPods Standard,Case,Tekne CLEAR Case with Camera stand for iPhone 16 Pro Max-White,96,0.0024406986499885593,1
AirPods,AirPods Pro,Case,Pulse Super crystal magsafe case for iPhone 15 Pro-Black,94,0.002434161120749929,1
AirPods,AirPods Pro,Other,USB-C TO USB-C ZINC-ALLOY HOUSING PD 100W,93,0.002408265789678121,1
AirPods,AirPods Standard,Other,Belkin GLASS EZ TRAY APPLE  13 PRO MAX TEMPERED GLASS AM,94,0.002389850761447131,1
AirPods,AirPods Standard,Apple Pencil,APPLE PENCIL TIPS - 4 PACK,93,0.0023644268171764166,1
AirPods,AirPods Standard,Case,Tekne Matt Magsafe Case for iPhone 16 Pro Max-Black,92,0.0023390028729057028,1
AirPods,AirPods Standard,Charger/Adapter,Lightning to 3.5 mm Headphone Jack Adapter,92,0.0023390028729057028,1
AirPods,AirPods Standard,Other,PW  MS-LTHR-BLACK-ALUM-BLACK-BK-GNFR,92,0.0023390028729057028,1
AirPods,AirPods Standard,Other,TEKNE Gadget Organiser- Olive Green,88,0.0022373070958228458,1
AirPods,AirPods Standard,Case,Pulse HORNOR Case for iPhone 15 Pro-Black,87,0.002211883151552132,1
AirPods,AirPods Pro,Other,BELKIN 4-OUTLET SURGE PROT 1.5M CORD GREY,84,0.0021752078100318512,1
